id,name,department,location,manager,start_date,planned_completion,approved_budget,released_funds,expenditure,physical_progress,financial_progress,expected_progress,milestones_total,milestones_delayed,resource_availability,contractor_performance,material_availability,previous_delays,status,contractor_id,contractor_name,description,doom_probability_pct,doom_level,health_score
11,Greenfield Expressway Freight Corridor,Road Transport,Gujarat,Er. Nitin Solanki,2025-01-01,2027-06-30,320000000.0,240000000.0,160000000.0,52.0,50.0,53.0,8,0,88.0,89.0,90.0,0,ON_TRACK,11,Bharat Heavy Civil Infrastructure Ltd,6-lane controlled-access freight highway reducing inter-state transit times by 40%.,7.2,STABLE_HEALTHY,86
12,Deepwater Coastal Transshipment Port Rail Link,Ports & Shipping,Andhra Pradesh,Er. K. Venkat Rao,2024-05-10,2026-07-20,280000000.0,240000000.0,201600000.0,41.0,72.0,69.0,6,2,56.0,60.0,58.0,1,DELAYED,12,Pacific Maritime & Dredging Corp,Dedicated heavy-haul railway evacuation link connecting dock berths to the main freight line.,54.0,HIGH_DISTRESS,52
13,Ultra-Mega Solar Power Park,Renewable Energy,Rajasthan,Er. Mahendra Rathore,2024-10-15,2026-04-30,180000000.0,160000000.0,129600000.0,75.0,72.0,74.0,5,0,94.0,92.0,95.0,0,ON_TRACK,10,Sunrise Smart Grid Technologies,500MW photovoltaic utility power generation field with automated tracking bifacial panels.,4.0,STABLE_HEALTHY,92
14,Inland Waterways Cargo Terminal,Shipping,Uttar Pradesh,Er. Alok Tripathi,2024-04-01,2025-12-31,95000000.0,90000000.0,64600000.0,30.0,68.0,76.0,5,3,45.0,48.0,42.0,2,CRITICAL,6,Hillside Constructions & Earthmovers,Multimodal cargo jetty on National Waterway 1 with bulk grain handling conveyor systems.,79.2,CRITICAL_DOOM,24
15,Semi-High Speed Vande Bharat Maintenance Depot,Railways,Karnataka,Er. Ananya Gowda,2024-11-01,2026-09-30,165000000.0,140000000.0,105600000.0,68.0,64.0,66.0,6,0,86.0,88.0,87.0,0,ON_TRACK,1,Larsen & Mega Infrastructure Ltd,"State-of-the-art automated bogie testing, washing plant, and overnight trainset maintenance bays.",6.0,STABLE_HEALTHY,89
16,AI National Computing Grid Facility,IT & Telecom,Telangana,Er. S. Chandrasekhar,2025-02-01,2026-10-31,85000000.0,70000000.0,44200000.0,55.0,52.0,54.0,5,0,91.0,90.0,92.0,0,ON_TRACK,4,Eastern Regional Infra Solutions,Tier-IV green data center housing high-performance GPU clusters for sovereign AI workloads.,5.5,STABLE_HEALTHY,91
17,Desalination Plant & Potable Water Pipeline,Jal Shakti,Tamil Nadu,Er. R. Soundararajan,2024-07-01,2026-02-28,125000000.0,120000000.0,105000000.0,42.0,84.0,82.0,6,3,42.0,45.0,40.0,2,CRITICAL,8,Apex Shell Engineering Consortium,100 MLD sea water reverse osmosis desalination plant and 65km cross-country conveyance conduit.,84.5,CRITICAL_DOOM,22
18,AIIMS Tertiary Healthcare Super-Specialty Block,Healthcare,Bihar,Dr. Pradeep Mishra,2024-09-15,2026-11-30,210000000.0,180000000.0,130200000.0,64.0,62.0,65.0,7,0,87.0,89.0,88.0,0,ON_TRACK,11,Bharat Heavy Civil Infrastructure Ltd,750-bed apex tertiary research hospital with trauma care and advanced oncology surgical wings.,6.8,STABLE_HEALTHY,87
19,Multimodal Logistics Park & Inland Container Depot,Commerce & Industry,Haryana,Er. Vikas Chhillar,2024-08-15,2026-06-30,150000000.0,135000000.0,111000000.0,48.0,74.0,71.0,6,2,60.0,62.0,58.0,1,DELAYED,5,Pinnacle Urban Civil Contractors,"Mechanized warehouse clusters, cold storage chain, and rail-siding transshipment yard.",51.5,HIGH_DISTRESS,54
20,Border Surveillance Tower Network,Home Affairs,Jammu & Kashmir,Col. Rohit Jamwal,2025-01-15,2026-10-31,115000000.0,90000000.0,64400000.0,59.0,56.0,60.0,5,0,82.0,85.0,84.0,0,ON_TRACK,2,National Bridge & Tunnel Engineering Corp,"High-altitude border electro-optic sensor masts, thermal surveillance, and solar hybrid backup power.",7.5,STABLE_HEALTHY,85
